#      
#   DShield.org Recommended Block List 
#    (c) 2021 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Fri Nov 19 09:00:02 2021 UTC
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netmask	Attacks	Name	Country	email
89.248.165.0	89.248.165.255	24	10564	INT-NETWORK	SC	abuse@ipvolume.net
193.27.228.0	193.27.228.255	24	8765	SELECTEL	RU	abuse@selectel.ru
45.134.26.0	45.134.26.255	24	8520	SELECTEL	RU	abuse@selectel.ru
45.146.166.0	45.146.166.255	24	8424	SELECTEL	RU	abuse@selectel.ru
92.63.197.0	92.63.197.255	24	6950	SIBIRINVEST	NL	qwalarty@ukr.net
45.135.232.0	45.135.232.255	24	6625	SELECTEL-MSK	RU	abuse@selectel.ru
167.248.133.0	167.248.133.255	24	6398	CENSYS-ARIN-03	US	
185.191.34.0	185.191.34.255	24	5313	SELECTEL-MSK	RU	abuse@selectel.ru
193.163.125.0	193.163.125.255	24	4229	CYBER-CASA	GB	>>UNKNOWN<<
45.134.144.0	45.134.144.255	24	3920	NOCIX	US	security@datashack.net
146.88.240.0	146.88.240.255	24	3082	ARBOR	US	hostmaster@arbor.net
79.124.62.0	79.124.62.255	24	2975	DM_AUTO	BG	abuse@dm-auto.eu
80.82.77.0	80.82.77.255	24	2889	INT-NETWORK	SC	abuse@ipvolume.net
193.27.229.0	193.27.229.255	24	2788	SELECTEL	RU	abuse@selectel.ru
45.146.164.0	45.146.164.255	24	2689	SELECTEL	RU	abuse@selectel.ru
141.98.10.0	141.98.10.255	24	2652	HOSTBALTIC	LT	>>UNKNOWN<<
45.155.205.0	45.155.205.255	24	2614	SELECTEL	RU	abuse@selectel.ru
185.216.140.0	185.216.140.255	24	2507	FBX-AS	NL	support@fiberxpress.net
103.145.13.0	103.145.13.255	24	2161	SQUITTER-NETWORKS	NL	abuse@squitter.eu
23.148.145.0	23.148.145.255	24	1864	VDI-NETWORK	US	noc@vdinetwork.com
